ANO_EJE|MES_EJE|TIPO_GOBIERNO|TIPO_GOBIERNO_NOMBRE|SECTOR|SECTOR_NOMBRE|PLIEGO|PLIEGO_NOMBRE|SEC_EJEC|EJECUTORA|EJECUTORA_NOMBRE|DEPARTAMENTO_EJECUTORA|DEPARTAMENTO_EJECUTORA_NOMBRE|PROVINCIA_EJECUTORA|PROVINCIA_EJECUTORA_NOMBRE|DISTRITO_EJECUTORA|DISTRITO_EJECUTORA_NOMBRE|SEC_FUNC|PROGRAMA_PPTO|PROGRAMA_PPTO_NOMBRE|TIPO_ACT_PROY|PRODUCTO_PROYECTO|PRODUCTO_PROYECTO_NOMBRE|ACTIVIDAD_ACCION_OBRA|ACTIVIDAD_ACCION_OBRA_NOMBRE|FUNCION|FUNCION_NOMBRE|DIVISION_FUNCIONAL|DIVISION_FUNCIONAL_NOMBRE|GRUPO_FUNCIONAL|GRUPO_FUNCIONAL_NOMBRE|META|FINALIDAD|META_NOMBRE|DEPARTAMENTO_META|DEPARTAMENTO_META_NOMBRE|RUBRO|RUBRO_NOMBRE|FUENTE_FINANC|FUENTE_FINANC_NOMBRE|TIPO_RECURSO|TIPO_RECURSO_NOMBRE|CATEG_GASTO|CATEG_GASTO_NOMBRE|TIPO_TRANSACCION|GENERICA|GENERICA_NOMBRE|SUBGENERICA|SUBGENERICA_NOMBRE|SUBGENERICA_DET|SUBGENERICA_DET_NOMBRE|ESPECIFICA|ESPECIFICA_NOMBRE|ESPECIFICA_DET|ESPECIFICA_DET_NOMBRE|MONTO_PIA|MONTO_PIM|MONTO_CERTIFICADO|MONTO_COMPROMETIDO_ANUAL|MONTO_COMPROMETIDO|MONTO_DEVENGADO|MONTO_GIRADO
2020|0|E|GOBIERNO NACIONAL|13|AGRICULTURA|164|AUTORIDAD NACIONAL DEL AGUA - ANA|1299|001|AUTORIDAD NACIONAL DE AGUA - SEDE CENTRAL|15|LIMA|01|LIMA|31|LIMA|9999|9002|ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS|ACTIVIDAD|3999999|SIN PRODUCTO|5006269|PREVENCION, CONTROL, DIAGNOSTICO Y TRATAMIENTO DE CORONAVIRUS|03|PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA|006|GESTION|0008|ASESORAMIENTO Y APOYO|00001|0290093|SENSIBILIZACION Y COMUNICACION DEL RIESGO|15|LIMA|00|RECURSOS ORDINARIOS|1|RECURSOS ORDINARIOS|0|RECURSOS ORDINARIOS|5|GASTO CORRIENTE|2|3|BIENES Y SERVICIOS|1|COMPRA DE BIENES|1|ALIMENTOS Y BEBIDAS|1|ALIMENTOS Y BEBIDAS|1|ALIMENTOS Y BEBIDAS PARA CONSUMO HUMANO|0|0|0|0|0|0|0
2020|0|E|GOBIERNO NACIONAL|13|AGRICULTURA|164|AUTORIDAD NACIONAL DEL AGUA - ANA|1358|002|MODERNIZACION DE LA GESTION DE LOS RECURSOS HIDRICOS|15|LIMA|01|LIMA|30|LIMA|9999|9002|ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS|ACTIVIDAD|3999999|SIN PRODUCTO|5006269|PREVENCION, CONTROL, DIAGNOSTICO Y TRATAMIENTO DE CORONAVIRUS|03|PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA|006|GESTION|0008|ASESORAMIENTO Y APOYO|00001|0290093|SENSIBILIZACION Y COMUNICACION DEL RIESGO|15|LIMA|00|RECURSOS ORDINARIOS|1|RECURSOS ORDINARIOS|0|RECURSOS ORDINARIOS|5|GASTO CORRIENTE|2|3|BIENES Y SERVICIOS|1|COMPRA DE BIENES|1|ALIMENTOS Y BEBIDAS|1|ALIMENTOS Y BEBIDAS|1|ALIMENTOS Y BEBIDAS PARA CONSUMO HUMANO|0|0|0|0|0|0|0
2020|0|E|GOBIERNO NACIONAL|13|AGRICULTURA|163|INSTITUTO NACIONAL DE INNOVACION AGRARIA|1451|018|ESTACION EXPERIMENTAL AGRARIA ANDENES - CUZCO|08|CUSCO|01|CUSCO|08|CUSCO|9999|9002|ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS|ACTIVIDAD|3999999|SIN PRODUCTO|5006269|PREVENCION, CONTROL, DIAGNOSTICO Y TRATAMIENTO DE CORONAVIRUS|03|PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA|006|GESTION|0008|ASESORAMIENTO Y APOYO|00001|0290093|SENSIBILIZACION Y COMUNICACION DEL RIESGO|15|LIMA|00|RECURSOS ORDINARIOS|1|RECURSOS ORDINARIOS|0|RECURSOS ORDINARIOS|5|GASTO CORRIENTE|2|3|BIENES Y SERVICIOS|1|COMPRA DE BIENES|1|ALIMENTOS Y BEBIDAS|1|ALIMENTOS Y BEBIDAS|1|ALIMENTOS Y BEBIDAS PARA CONSUMO HUMANO|0|0|0|0|0|0|0
2020|0|E|GOBIERNO NACIONAL|13|AGRICULTURA|163|INSTITUTO NACIONAL DE INNOVACION AGRARIA|1446|013|ESTACION EXPERIMENTAL AGRARIA EL PORVENIR- SAN MARTIN|22|SAN MARTIN|09|SAN MARTIN|01|SAN MARTIN|9999|9002|ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS|ACTIVIDAD|3999999|SIN PRODUCTO|5006269|PREVENCION, CONTROL, DIAGNOSTICO Y TRATAMIENTO DE CORONAVIRUS|03|PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA|006|GESTION|0008|ASESORAMIENTO Y APOYO|00001|0290093|SENSIBILIZACION Y COMUNICACION DEL RIESGO|15|LIMA|00|RECURSOS ORDINARIOS|1|RECURSOS ORDINARIOS|0|RECURSOS ORDINARIOS|5|GASTO CORRIENTE|2|3|BIENES Y SERVICIOS|1|COMPRA DE BIENES|1|ALIMENTOS Y BEBIDAS|1|ALIMENTOS Y BEBIDAS|1|ALIMENTOS Y BEBIDAS PARA CONSUMO HUMANO|0|0|0|0|0|0|0
2020|0|E|GOBIERNO NACIONAL|13|AGRICULTURA|163|INSTITUTO NACIONAL DE INNOVACION AGRARIA|1447|014|ESTACION EXPERIMENTAL AGRARIA ILLPA- PUNO|21|PUNO|01|PUNO|01|PUNO|9999|9002|ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS|ACTIVIDAD|3999999|SIN PRODUCTO|5006269|PREVENCION, CONTROL, DIAGNOSTICO Y TRATAMIENTO DE CORONAVIRUS|03|PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA|006|GESTION|0008|ASESORAMIENTO Y APOYO|00001|0290093|SENSIBILIZACION Y COMUNICACION DEL RIESGO|15|LIMA|00|RECURSOS ORDINARIOS|1|RECURSOS ORDINARIOS|0|RECURSOS ORDINARIOS|5|GASTO CORRIENTE|2|3|BIENES Y SERVICIOS|1|COMPRA DE BIENES|1|ALIMENTOS Y BEBIDAS|1|ALIMENTOS Y BEBIDAS|1|ALIMENTOS Y BEBIDAS PARA CONSUMO HUMANO|0|0|0|0|0|0|0
2020|0|E|GOBIERNO NACIONAL|13|AGRICULTURA|163|INSTITUTO NACIONAL DE INNOVACION AGRARIA|1448|015|ESTACION EXPERIMENTAL AGRARIA PUCALLPA- UCAYALI|25|UCAYALI|01|CORONEL PORTILLO|01|UCAYALI|9999|9002|ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS|ACTIVIDAD|3999999|SIN PRODUCTO|5006269|PREVENCION, CONTROL, DIAGNOSTICO Y TRATAMIENTO DE CORONAVIRUS|03|PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA|006|GESTION|0008|ASESORAMIENTO Y APOYO|00001|0290093|SENSIBILIZACION Y COMUNICACION DEL RIESGO|15|LIMA|00|RECURSOS ORDINARIOS|1|RECURSOS ORDINARIOS|0|RECURSOS ORDINARIOS|5|GASTO CORRIENTE|2|3|BIENES Y SERVICIOS|1|COMPRA DE BIENES|1|ALIMENTOS Y BEBIDAS|1|ALIMENTOS Y BEBIDAS|1|ALIMENTOS Y BEBIDAS PARA CONSUMO HUMANO|0|0|0|0|0|0|0
2020|0|E|GOBIERNO NACIONAL|13|AGRICULTURA|163|INSTITUTO NACIONAL DE INNOVACION AGRARIA|1449|016|ESTACION EXPERIMENTAL AGRARIA SANTA ANA - JUNIN|12|JUNIN|01|HUANCAYO|14|JUNIN|9999|9002|ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS|ACTIVIDAD|3999999|SIN PRODUCTO|5006269|PREVENCION, CONTROL, DIAGNOSTICO Y TRATAMIENTO DE CORONAVIRUS|03|PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA|006|GESTION|0008|ASESORAMIENTO Y APOYO|00001|0290093|SENSIBILIZACION Y COMUNICACION DEL RIESGO|15|LIMA|00|RECURSOS ORDINARIOS|1|RECURSOS ORDINARIOS|0|RECURSOS ORDINARIOS|5|GASTO CORRIENTE|2|3|BIENES Y SERVICIOS|1|COMPRA DE BIENES|1|ALIMENTOS Y BEBIDAS|1|ALIMENTOS Y BEBIDAS|1|ALIMENTOS Y BEBIDAS PARA CONSUMO HUMANO|0|0|0|0|0|0|0
2020|0|E|GOBIERNO NACIONAL|13|AGRICULTURA|163|INSTITUTO NACIONAL DE INNOVACION AGRARIA|1450|017|ESTACION EXPERIMENTAL AGRARIA VISTA FLORIDA - LAMBAYEQUE|14|LAMBAYEQUE|01|CHICLAYO|11|LAMBAYEQUE|9999|9002|ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS|ACTIVIDAD|3999999|SIN PRODUCTO|5006269|PREVENCION, CONTROL, DIAGNOSTICO Y TRATAMIENTO DE CORONAVIRUS|03|PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA|006|GESTION|0008|ASESORAMIENTO Y APOYO|00001|0290093|SENSIBILIZACION Y COMUNICACION DEL RIESGO|15|LIMA|00|RECURSOS ORDINARIOS|1|RECURSOS ORDINARIOS|0|RECURSOS ORDINARIOS|5|GASTO CORRIENTE|2|3|BIENES Y SERVICIOS|1|COMPRA DE BIENES|1|ALIMENTOS Y BEBIDAS|1|ALIMENTOS Y BEBIDAS|1|ALIMENTOS Y BEBIDAS PARA CONSUMO HUMANO|0|0|0|0|0|0|0
2020|0|E|GOBIERNO NACIONAL|13|AGRICULTURA|163|INSTITUTO NACIONAL DE INNOVACION AGRARIA|160|001|INSTITUTO NACIONAL DE INNOVACION AGRARIA|15|LIMA|01|LIMA|14|LIMA|9999|9002|ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS|ACTIVIDAD|3999999|SIN PRODUCTO|5006269|PREVENCION, CONTROL, DIAGNOSTICO Y TRATAMIENTO DE CORONAVIRUS|03|PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA|006|GESTION|0008|ASESORAMIENTO Y APOYO|00001|0290093|SENSIBILIZACION Y COMUNICACION DEL RIESGO|15|LIMA|00|RECURSOS ORDINARIOS|1|RECURSOS ORDINARIOS|0|RECURSOS ORDINARIOS|5|GASTO CORRIENTE|2|3|BIENES Y SERVICIOS|1|COMPRA DE BIENES|1|ALIMENTOS Y BEBIDAS|1|ALIMENTOS Y BEBIDAS|1|ALIMENTOS Y BEBIDAS PARA CONSUMO HUMANO|0|0|0|0|0|0|0
2020|0|E|GOBIERNO NACIONAL|13|AGRICULTURA|163|INSTITUTO NACIONAL DE INNOVACION AGRARIA|1555|019|PROGRAMA NACIONAL DE INNOVACION AGRARIA - PNIA|15|LIMA|01|LIMA|14|LIMA|9999|9002|ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS|ACTIVIDAD|3999999|SIN PRODUCTO|5006269|PREVENCION, CONTROL, DIAGNOSTICO Y TRATAMIENTO DE CORONAVIRUS|03|PLANEAMIENTO, GESTION Y RESERVA DE CONTINGENCIA|006|GESTION|0008|ASESORAMIENTO Y APOYO|00001|0290093|SENSIBILIZACION Y COMUNICACION DEL RIESGO|15|LIMA|00|RECURSOS ORDINARIOS|1|RECURSOS ORDINARIOS|0|RECURSOS ORDINARIOS|5|GASTO CORRIENTE|2|3|BIENES Y SERVICIOS|1|COMPRA DE BIENES|1|ALIMENTOS Y BEBIDAS|1|ALIMENTOS Y BEBIDAS|1|ALIMENTOS Y BEBIDAS PARA CONSUMO HUMANO|0|0|0|0|0|0|0
